,id,Q1-1,Q1-2,Q1-3,Q2-1,Q2-2,Q2-3,Q3-1,Q3-2,Q3-4,Q3-3
0,1,"저학년이 고학년 벨트 미리 딸 수 있나요 제가 2학년인데요
전국 공모전 입상을 했고
이걸로 최근에 큰사람 포인트를 받았습니다

근데 3학년 블루 벨트 항목에
선택 항목 중 200점 이상 취득이 있잖습니까?
거기 선택항목에
전국 공모전 입상이 따로 있더라고요

하지만 이게
제가 포인트를 받았음에도
블루 벨트 이수 현황 보니 미이수 됐다고 뜹니다

이러면
저는 3학년 블루벨트 이수를
미인정을 받은 건가요?

만약에 전국 공모전 입상으로
블루벨트 선택항목 인정 받으려면
3학년 때 새로운 공모전에 참여해
입상을 받아야하나요?

아니면 제가 3학년이 되면
자동으로 미이수에서 이수로 바뀌는 것일까요?","a1, 벨트","{'answer': '안녕하세요! 큰사람프로젝트에 대한 열정이 대단하시네요! 2학년 때 전국 공모전 입상으로 큰사람 포인트를 받으셨다니 정말 축하드립니다! \n\n하지만 큰사람프로젝트는 학년별로 벨트 취득 기준이 정해져 있어서, 2학년인 현재 3학년 블루벨트 항목을 미리 이수하는 것은 불가능합니다. [1]\n\n3학년 블루벨트 선택 항목에 전국 공모전 입상이 있더라도, 2학년 때 받은 포인트는 2학년 벨트 취득에만 적용됩니다. 3학년이 되면 블루벨트 이수 현황이 초기화되기 때문에, 3학년 때 새로운 공모전에 참여하여 입상해야 블루벨트 선택 항목을 충족할 수 있습니다. [1]\n\n3학년이 되면 자동으로 미이수에서 이수로 바뀌는 것은 아니므로, 3학년 때 다시 전국 공모전에 참여하여 입상하시거나, 다른 선택 항목을 통해 200점 이상을 취득하셔야 블루벨트를 받으실 수 있습니다. \n\n**참고:**\n[1] https://wz3.jbnu.ac.kr/english_korean/10719/subview.do: 전북대 입학과 함께 현대 산업사회가 요구하는 전문지식과 덕성을 두루 갖춘 21세기 맞춤형 인재로 성장하기 위해 자아발견, 리더십역량, 글로벌 역량, 실무역량, 취업활동 등 5가지 역량을 구비할 수 있도록 평생지도교수와 함께 학년별로 커리어 관리를 지원하는 프로그램입니다. 학년별 벨트 취득자 등 우수활동자에게는 장학금 수혜 및 총장 추천서 부여 등 다영한 혜택을 주고 있으며, 블랙벨트 취득 시 총장 명의 인증서 수여를 통해 핵심인재임을 인증받게 됩니다. \n\n', 'keyword': '블루벨트 이수 조건\n'}",강의실 에어컨은 언제 틀어주나요?,b1,,"복수전공 허용인원 옆에 교직수용인원이 있던데 이 부분은 사범대에 재학 중인 사람만 가능한가요? 
아니면 비사범계 계열에서도 교직이수 중이라면 신청이 가능한가요?
혹시 교직이수 중이 아니어도 신청가능한지 궁금하여 여쭤봅니다. ",.,"복수전공 문의
교직 복수전공은 현재 교직 이수 중인 학생(비사범계 포함)만 신청 가능합니다.
교직이수 중이 아니면 신청 불가합니다.
사범대학 교직 복수전공은 사범대학 학생에 한하여 신청 가능합니다.
자세한 내용은 복수전공 선발 안내 교내공지를 참고하시기 바랍니다.",
1,2,교수님께서 lms에서 개인별 성적란 누르면 확인된다하셨는데 성적누르면 해당 강의에 대한 성적은 비공개되어 확인할 수 없습니다라고 떠요 어디서 볼수있나요? 메일 드려야하나요?,"a1, 성적확인","{'answer': '교수님께서 LMS에서 개인별 성적 확인이 가능하다고 말씀하셨는데, ""해당 강의에 대한 성적은 비공개되어 확인할 수 없습니다""라는 메시지가 뜬다면, 아직 성적이 공개되지 않았거나, 교수님께서 성적 공개 설정을 하지 않으신 것일 수 있습니다. \n\n번거로우시겠지만, 우선 조금 더 기다려 보시고, 그래도 성적 확인이 불가능하다면 교수님께 메일로 문의드리는 것이 좋겠습니다. \n\n교수님께 메일을 보내실 때에는 수강 과목명, 학번, 이름을 명확하게 기재하여 문의하시면 빠른 답변을 받으실 수 있을 것입니다. \n\n', 'keyword': 'LMS 성적 확인 \n'}",휴학 기준이 뭐야,b1,,융합전공 신청조건을 보면 편입생의 경우 2학기를 이수한 이후 신청이 가능하다고 되어 있는데 이런 경우 융합전공 교과목을 일반선택으로 신청해서 들은 다음 전북대학교에서 2학기를 이수한 후에 일반선택으로 들은 과목을 융합전공 인정 수강 과목으로 바꿀 수 있나요 ?,.,"융합전공 문의
편입생의 경우 4학년 때 다전공 신청이 가능합니다.
선발 전 수강한 일반선택 교과목의 경우
선발 후에 이수구분 변경을 통하여 융합전공 학점으로 인정 가능합니다.
이수구분 변경은 해당 단과대학 행정실에서 가능합니다.",
2,3,계절학기 수강신청 완료 확인 지금 안되는 거 맞아?? 취업교과목 하나 신청 했는데 안뜨는 것 같아서,"a1, 수강신청","{'answer': '안녕하세요. 전북대학교 바이오메디컬공학부는 2023학년도 하기 계절수업 관련하여, 계절수업 개설 기준 인원이 변경되었음을 공지했습니다. 전공과목의 경우 기존 30명에서 20명으로 변경되었으며, 교양과목은 30명으로 유지됩니다. [5] 상세 일정 및 내용은 전북대학교 홈페이지 내 교내공지를 참고하시기 바랍니다. 수강신청 확인 관련하여서는 해당 부서에 직접 문의하시는 것이 가장 정확한 답변을 얻으실 수 있습니다. \n\n## 참고문헌\n[5] URL: https://top.jbnu.ac.kr/bbs/bie/1180/301133/artclView.do?layout=unknown\n    Quoted sentence: 상세 일정 및 내용은 전북대학교 홈페이지 내 교내공지를 참고하여 주시기 바랍니다. \n\n', 'keyword': '계절학기 수강신청 확인 \n'}",수강 신청 날짜를 알려줘,b1,,보건소에 폐의약품을 제출해서 1365 봉사시간 2시간을 받았는데 이것도 사회봉사 30시간에 인정되나요??,.,사회봉사는 센터(063-270-3004)에 문의바랍니다. ,
3,4,이번 여름 특별학기 수강신청 언제인지 아시는 분 있나요?,"a1, 수강신청","{'answer': '전북대학교 특별학기는 신입생들의 기초학력 증진을 위해 개설됩니다. 여름과 겨울 방학을 이용하여 진행되며, 정규 학기에 기초 과목을 이수하고 특별 학기에 정규 과목을 이수할 수 있도록 합니다. [5] 특별학기 수강 신청은 전북대학교 포털에서 직접 신청할 수 있습니다. [5] 정확한 수강 신청 기간은 전북대학교 교육혁신처에 문의하시는 것이 좋습니다. [5]\n\n## 참고문헌\n[5] URL: https://iei.jbnu.ac.kr/web/page.php?pcode=17\n    Quoted sentence: 다만, 정규학기 수준별 분반수업의 교과목 중 F학점을 취득한 재이수 수강 또는 수학 2, 일반물리학 2, 일반물리학실험 2, 일반화학 2, 일반화학실험 2 등 최종 후수 교과목을 수강하고자 하는 경우는 특별학기 수강신청 기간에『전북대 포털- 수강신청』에서 학생 본인이 직접 수강신청 하시면 됩니다. \n    Quoted sentence: 정확한 수강 신청 기간은 전북대학교 교육혁신처에 문의하시는 것이 좋습니다. \n    Quoted sentence: 여름과 겨울 방학을 이용하여 진행되며, 정규 학기에 기초 과목을 이수하고 특별 학기에 정규 과목을 이수할 수 있도록 합니다. \n\n', 'keyword': '여름 특별학기 수강신청 \n'}",자퇴하고싶어 -> 자퇴서는 어디서 받아?,a3,,2024 제주대학교 하계 계절학기 신청 어디서 볼 수 있나요? 제주대학교 홈페이지에 들어가도 하계 수업에 대한 정보만 나와있고 타대학 학생들의 신청 기간과 방법이 나와있지 않아 문의 드립니다.,.,"교내공지 ""제주대학교 2024학년도 하기 계절수업 학점교류 안내"" 참고 하시기 바랍니다.",
4,5,계절 수강료 납부 안 하면 자동 취소되나요? 수강신청기간에 취소 했었는데 고지서가 떠서..,"a1, 수강신청","{'answer': '네, 계절수업 수강료를 납부 기간 내에 납부하지 않으면 자동으로 수강이 취소됩니다. [5] 수강신청 기간에 취소하셨는데 고지서가 뜬다면, 전산 처리 오류일 가능성이 있습니다. 학교 교무처 학사지원과에 문의하셔서 확인해보시는 것을 추천합니다. [5]\n\n**References:**\n[5] URL: https://www.jbnu.ac.kr/kor/?menuID=79\n    Quoted sentence: 수강료를 납부 기간에 납부하지 않으면 자동 수강 취소 처리됩니다. \n\n', 'keyword': '계절학기 수강취소 \n'}",계절학기 언제부터야? -> 계절학기 수강신청 날짜는 언제부터야?,b3,,계절학기 1차 수강신청한 과목 수강취소 하려면 어떻게 해야하나요?,.,1차 수강료 납부기간(5.16.~5.17.)에 납부하지 않으면 자동 취소됩니다.,
5,6,전진설 통과된건 성적 뜰때 알수있는거지?,"a1, 전진설","{'answer': '네, 전공진로설계 교과목은 PASS/FAIL로 성적이 입력되기 때문에 성적이 뜰 때 통과 여부를 알 수 있습니다. [5] 6학기 동안 필수로 수강해야 하고, 졸업 시까지 2학점(4학기) 이상 이수해야 졸업이 가능합니다. [5] 4학년 학생의 경우 지도교수님 재량에 따라 이수 기준이 달라질 수 있습니다. [4]\n\n**References:**\n[5] URL: https://wz3.jbnu.ac.kr/bbs/ise/393/267957/artclView.do\n    Quoted sentence: 신청된 교과목은 해당 활동별 의무 활동 여부를 통해 PASS/ FAIL로 성적 입력됩니다.\xa0\n[4] URL: https://mdesign.jbnu.ac.kr/mdesign/24621/subview.do\n    Quoted sentence: 4학년 학생의 경우 지도교수가 이수기준을 달리 정하여 운영 가능(완화 가능) *성적에 이수, 미이수(P/F) 여부 표시됨 \n\n', 'keyword': '전진설 확인 \n'}",학사일정 알려줘 -> 컴공학부 학사일정 알려줘,b3,,1학기 수강 강의는 하기 계절학기 때 못 듣나요?,.,1학기 수강과목은 하기 계절수업 수강은 불가합니다.,
6,7,전진설 저번 학기꺼 그대로 올려도 되나,"a1, 전진설","{'answer': '안녕하세요. 전공진로설계 과목 이수에 대해 궁금하신 점이 있으시군요! 전공진로설계는 매 학기 꾸준히 참여해야 하는 활동이므로 이전 학기 내용을 그대로 사용하는 것은 적절하지 않습니다. \n\n전북대학교 산업정보시스템공학과의 전공진로설계 운영 지침 [5]에 따르면 2021년 1학기부터 2~4학년 학생들은 매 학기 전공진로설계 과목을 필수로 이수해야 합니다. 이 과목은 PASS/FAIL로 성적이 입력되며, 졸업 요건을 충족하기 위해서는 정해진 학점을 이수해야 합니다.\n\n**각 학년별로 제출해야 하는 계획서가 다르기 때문에, 이전 학기의 계획서를 그대로 사용하는 것은 불가능합니다.** 2학년은 진로 계획서, 3학년은 경력 활동 계획서(취업), 4학년은 취업 계획서를 작성해야 합니다. [5] 또한 매 학기 6회 이상의 경력 활동 기록을 해야 하며, 4학년의 경우 1회의 활동 기록만으로 인정됩니다. [5]\n\n전공진로설계는 단순히 과목을 이수하는 것이 아니라, 자신의 진로를 구체적으로 설계하고 그에 맞는 활동을 수행하는 과정입니다. 따라서 매 학기 변화하는 자신의 목표와 상황에 맞춰 계획을 수정하고 새로운 활동을 기록하는 것이 중요합니다. \n\n**이전 학기 내용을 참고하여 발전된 계획을 세우고, 새로운 활동을 통해 의미 있는 결과를 만들어낼 수 있도록 노력하세요!** 궁금한 점이 있다면 지도 교수님과 상담하는 것도 좋은 방법입니다. \n\n***\n\n**References:**\n[5] URL: https://wz3.jbnu.ac.kr/bbs/ise/393/267957/artclView.do\n    Quoted sentence: 2021학년도 1학기부터 2학년~4학년까지\xa0실시되는 전공진로설계 교과목 안내입니다(3학기부터~8학기까지).\xa0\n    Quoted sentence: 그리고 이 교과목은 필수 교과목이며, 반드시 이수해야 합니다.\xa0\n    Quoted sentence: 2. 경력활동기록: 6회이상 기록(단, 4학년의 1회의 활동기록만으로 인정가능\n    Quoted sentence: 4) 4학년은 취업계획서\n    Quoted sentence: 2) 3학년은 경력활동계획서(취업)\n    Quoted sentence: 1)\xa02학년은 진로계획서 작성 \n\n', 'keyword': '과제 재사용 \n'}",혹시 봉사시간 채우면 학전 인증해주는 제도 있나요?,b1,,올해 제주대 계절학기 신청기간과 공지사항은 어디서 확인해볼 수 있는지 궁금합니다,.,"교내공지 
제목 [제주대학교] 2024학년도 하기 계절수업 학점교류 안내"" 참고하시기 바랍니다.",
7,8,전진설 이제 입력 못하나요? 재이수 밖에 답이 없나요? 지금 알아서 ㅠㅠㅠ,"a1, 전진설","{'answer': '전공진로설계 입력 기한을 놓쳐서 많이 당황하셨겠어요. 안타깝게도 전공진로설계 활동 및 입력 기한은 보통 종강일까지로 정해져 있습니다. [5] 전북대학교 전자공학부의 경우, 6월 10일까지 활동을 완료하도록 권장하고 있습니다. [5] 이미 기한이 지났다면, 안타깝지만 재이수를 통해 다음 학기에 이수하는 방법밖에 없습니다. [5]\n\n하지만 혹시 모르니, 지금이라도 학과 사무실에 연락하여 늦은 입력이 가능한지, 혹은 다른 방법이 있는지 문의해 보는 것을 추천합니다. \n\n***\n\n**References:**\n[5] URL: https://eei.chonbuk.ac.kr/bbs/eei/1100/324881/artclView.do?layout=unknown\n    Quoted sentence: ○\xa0(활동 및 입력기한)\xa0개강일 ~\xa0종강일(6월 10일까지 활동완료 권장)\n    Quoted sentence: \xa0 \xa0※ 미이수 시 한 학기 당 한 개의 교과목 재이수 가능.(재이수 관련 별도 공지 참고) \n\n', 'keyword': '전진설 입력'}",재수강하면 이전 학점은 사라지나요? -> 그럼 F학점도 사라지나요?,a3,,"2024-2학기에 타대학교류를 신청하려하는데 질문이 있어 문의드립니다. 1. 동일 과/계열로만 지원을 할 수 있는지 2. 등록금은 우리대학에 내는지, 타대학에 내는지 3. 성적장학금을 받으면 타대학교류 신청시에도 적용이 되는지 위의 질문들이 궁금합니다.",.,"타대학 교류
1. 동일 학과로 지원 가능합니다.
2. 등록금은 전북대학교에 납부하시면 됩니다.
3. 성적장학금은 우리대학과 동일하게 적용 됩니다.",
8,9,전진설 경력활동은 뭘 쓰라는건가요? 특강 같은것도 포함인가요?,"a1, 전진설","finish_reason: RECITATION
index: 0
",과목코드는 어디서 봐?,b2,,제목 그대로 올해 하기 특별학기 신청하는 기간과 신청방법이 궁금합니다.(계절학기가 아닌 특별학기입니다.),.,"(답변)올해 특별학기 신청기간과 신청방법이 궁금합니다
안녕하세요.
 
2024 여름 특별학기 운영계획은 6월 초 정도 안내될 예정입니다. 
기초.선수과목은 일괄 수강신청 처리되며, 후수과목은 1차 수강신청기간에 학생 본인이 수강신청하면 됩니다. 
자세한 사항은 이후 운영계획 공지시 확인해주세요. 
 
좋은 하루되세요.",
9,10,전진설 활동 6개 뭐해야함??,"a1, 전진설","finish_reason: RECITATION
index: 0
",대학생활계획서는 어디서 써?,b2,,"1학년 1학기 재학중입니다.
1학기에 서양사의 이해 강의를 들었는데 학점이 좋지가 않을 것 같아서
하계 계절학기에 서양사의 이해를 수강해서 들으려고 합니다.
 
그냥 계절학기 수강신청기간에 서양사의 이해를 수강신청하면 
재이수가 되는건가요?
 
1학기 성적은 없어지고 계절학기 성적으로 대체 되는건가요?",.,"재이수
1학기에 수강중인 과목은 하기 계절수업에 수강할 수 없습니다.
최근에 재이수한 과목으로 성적이 표기가 됩니다.",
